site,logo,score,status
http_tunes,c_480,87,yes
http_light2016,c_480,79,yes
http_lmhsrv8,c_480,75,yes
http_neuromorph,ci_480,61,yes
http_continuing-education,mi_480,60,yes
http_satrocks,c_480,60,yes
http_acide,c_480,59,yes
http_coaching,c_480,59,yes
http_riskeval,c_480,56,yes
http_dars2010,c_480,55,yes
http_hct16,c_480,55,yes
http_cryoem2017,ci_480,54,yes
http_eg-ice2018,c_480,53,yes
http_sccer-furies,c_480,53,yes
http_fes,c_480,52,yes
http_photochemistry,c_480,51,yes
http_cecampc10,c_480,50,yes
http_infoscience,c_480,50,yes
http_terreunsat,c_480,50,yes
http_infosciences,c_480,49,yes
http_moodle,m_480,49,yes
http_solid,mi_480,49,yes
http_gspcsrv1,c_480,46,yes
http_riskeval-demo,c_480,46,yes
http_riskeval-unileoben,c_480,46,yes
http_hydroweb,c_480,45,yes
http_icmovpe2014,c_480,45,yes
http_interactive,ci_480,45,yes
http_pegasus,m_480,45,yes
http_slimstools,c_480,45,yes
http_nevanlinna,ci_480,44,yes
http_sailingteam,c_480,44,yes
http_slimstools-test,c_480,44,yes
http_cib,ci_480,43,yes
http_cibsrv4,ci_480,43,yes
http_forum,mi_480,43,yes
http_igf,c_480,43,yes
http_iproduct,c_480,43,yes
http_lcptsrv2,c_480,43,yes
http_lss2011,c_480,43,yes
http_paccmit,c_480,43,yes
http_bernoulli,ci_480,42,yes
http_isrec2011,c_480,42,yes
http_hci,c_480,41,yes
http_seg2018,ci_480,41,yes
http_edadk,c_480,40,yes
http_cdmit,c_480,39,yes
http_dev-winad,c_480,39,yes
http_dev-windows,c_480,39,yes
http_emba,c_480,39,yes
http_kissrv101,c_480,39,yes
http_kissrv102,c_480,39,yes
http_kissrv92,c_480,39,yes
http_m,c_480,39,yes
http_m2-test,c_480,39,yes
http_prod-m,c_480,39,yes
http_test-m,c_480,39,yes
http_studinfo,c_480,38,yes
http_a3-vaud-valais,c_480,37,yes
http_dev-studinfo,c_480,37,yes
http_enacnasstat,c_480,37,yes
http_fpga4u,c_480,37,yes
http_gaspar,c_480,37,yes
http_map,c_480,37,yes
http_my,c_480,37,yes
http_payonline,c_480,37,yes
http_pinchtxt,c_480,37,yes
http_plan,c_480,37,yes
http_planv4-demo,c_480,37,yes
http_qi,c_480,37,yes
http_reservations,c_480,37,yes
http_scistifmsrv1,c_480,37,yes
http_test-prestations,c_480,37,yes
http_test-reservations,c_480,37,yes
http_ticketshop,c_480,37,yes
http_gaspar05,c_480,36,yes
http_lappc4,c_480,36,yes
http_lfv,c_480,36,yes
http_planv4,c_480,36,yes
http_prestations,m_480,36,yes
http_progmaph,c_480,36,yes
http_shop,c_480,36,yes
http_spars2013,c_480,36,yes
http_test-payonline,c_480,36,yes
http_ada,m_480,35,yes
http_asap,c_480,35,yes
http_learning-from-vernacular,c_480,35,yes
http_shop-test,m_480,35,yes
http_swisspalm,m_480,35,yes
http_test-moodle,c_480,35,yes
http_amtss,ci_480,34,yes
http_bovislist,c_480,34,yes
http_flygut,c_480,34,yes
http_gges,c_480,34,yes
http_julide,c_480,34,yes
http_lts5srv1,c_480,34,yes
http_motus,c_480,34,yes
http_nccr-robotics,c_480,34,yes
http_robotics,c_480,34,yes
http_tuberculist,c_480,34,yes
http_dlab,m_480,33,yes
